bin,binBarcode,level,option1,option2,option3,productName,productType,quantity,shelf,sku,warehouse,expiration,lotName,minCost,avgCost,maxCost,price,committed,incoming
Grid wall,1770916055031,1,Size: 44 inch,,,Lettia Coolmax Clik Girth,Tack & Equipment > Girths & Cinches > English Girths > Hunter/Jumper Girths,2,Girths,7894,Wellington Warehouse,,,40000,40000,40000,59990,0,0
Grid wall,1770916055031,1,Size: 48-inch,,,Lettia CoolMax Fleece-lined Girth,Tack & Equipment > Girths & Cinches > English Girths > Hunter/Jumper Girths,1,Girths,GM48,Wellington Warehouse,,,31500,31500,31500,59990,0,0
Grid wall,1770916055031,1,Size: 40-inch,,,Lettia CoolMax Fleece-lined Girth,Tack & Equipment > Girths & Cinches > English Girths > Hunter/Jumper Girths,1,Girths,GM40,Wellington Warehouse,,,31500,31500,31500,59990,0,0
Grid wall,1770916055031,1,Size: 48 inch,,,Lettia Coolmax Clik Girth,Tack & Equipment > Girths & Cinches > English Girths > Hunter/Jumper Girths,0,Girths,7917,Wellington Warehouse,,,40000,40000,40000,59990,0,0
Grid wall,1770916055031,1,Size: 42-inch,,,Lettia CoolMax Fleece-lined Girth,Tack & Equipment > Girths & Cinches > English Girths > Hunter/Jumper Girths,1,Girths,GM42,Wellington Warehouse,,,31500,31500,31500,59990,0,0
ROW 1 : LVL 3,1768938712711,3,Size: 500 ml,,,Cavalor CoolSens Liniment,Horse Care > First Aid & Wellness > Liniments,10,First Aid,82193605,Wellington Warehouse,,,20390,20390,20390,29990,0,0
ROW 3 : LVL 1,1774281545036,1,Size: 16 Ounces,,,Cowboy Magic Rosewater Conditioner,"Horse Care > Grooming & Bathing > Shampoos, Conditioners, & Sprays > Conditioners",10,Grooming,3016,Wellington Warehouse,,,4860,4860,4860,10990,0,0
ROW 4 : LVL 3,1774281614633,3,Size: 16 Ounces,,,Cowboy Magic Detangler & Shine,"Horse Care > Grooming & Bathing > Shampoos, Conditioners & Sprays > Detanglers, Shines & Sprays",14,Grooming/Tack Cleaner,11815-2,Wellington Warehouse,,,21080,21880,23480,28990,0,0
ROW 3 : LVL 1,1774281545036,1,Size: 1 Gallon,,,Cowboy Magic Rosewater Conditioner,"Horse Care > Grooming & Bathing > Shampoos, Conditioners, & Sprays > Conditioners",1,Grooming,3128,Wellington Warehouse,,,27100,27100,27100,38990,0,0
ROW 3 : LVL 1,1774281545036,1,Size: 32 Ounces,,,Cowboy Magic Rosewater Shampoo,"Horse Care > Grooming & Bathing > Shampoos, Conditioners, & Sprays > Shampoos",3,Grooming,320166,Wellington Warehouse,,,9320,9320,9320,15990,0,0
ROW 3 : LVL 1,1774281545036,1,Size: Gallon,,,Cowboy Magic GreenSpot Remover,"Horse Care > Grooming & Bathing > Shampoos, Conditioners, & Sprays > Stain Removers",3,Grooming,320444,Wellington Warehouse,,,24470,24755,25040,39990,0,0
ROW 4 : LVL 3,1774281614633,3,Size: 32 Ounces,,,Cowboy Magic Detangler & Shine,"Horse Care > Grooming & Bathing > Shampoos, Conditioners & Sprays > Detanglers, Shines & Sprays",17,Grooming/Tack Cleaner,11815-3,Wellington Warehouse,,,38300,39947,43240,49990,0,0
ROW 3 : LVL 1,1774281545036,1,Size: 32 Ounces,,,Cowboy Magic GreenSpot Remover,"Horse Care > Grooming & Bathing > Shampoos, Conditioners, & Sprays > Stain Removers",4,Grooming,013-4000,Wellington Warehouse,,,7410,7410,7410,14990,0,0
ROW 3 : LVL 1,1774281545036,1,Size: 32 Ounces,,,Cowboy Magic Rosewater Conditioner,"Horse Care > Grooming & Bathing > Shampoos, Conditioners, & Sprays > Conditioners",2,Grooming,3032,Wellington Warehouse,,,7620,7620,7620,15990,0,0
ROW 3 : LVL 1,1774281545036,1,Size: 16 Ounces,,,Cowboy Magic Shine In Yellow Out,"Horse Care > Grooming & Bathing > Shampoos, Conditioners, & Sprays > Stain Removers",11,Grooming,5016,Wellington Warehouse,,,6560,6560,6560,11990,0,0
ROW 3 : LVL 1,1774281545036,1,Size: 16 Ounces,,,Cowboy Magic Rosewater Shampoo,"Horse Care > Grooming & Bathing > Shampoos, Conditioners, & Sprays > Shampoos",4,Grooming,320126,Wellington Warehouse,,,5900,5900,5900,9990,0,0
ROW 4 : LVL 1,1774281147461,1,Size: 5 Pounds,,,"Select the Best Dark Horse Nu-Image Coat, Mane, & Tail Support",Horse Care > Supplements > Skin & Coat,3,Supplements 2,620506,Wellington Warehouse,,,34430,34430,34430,46990,0,0
ROW 2 : LVL 1,1774281650391,1,Size: 1.5 Kilograms,,,Cavalor Crunchies Healthy Horse Snacks,Horse Care > Treats & Toys > Treats,4,Hoof/Treats,82696309,Wellington Warehouse,2026-09-10,Lot# LL099,13450,13450,13450,19990,0,0
ROW 3 : LVL 1,1774281147457,1,Size: 70cc,,,Redmond Daily Gold Stress Relief,Horse Care > Supplements > Digestive & Gut Health,24,Supplements 2,330844,Wellington Warehouse,,,9210,9210,9210,12990,0,0
BIN-04,1767722157720,4,Color: Blue/Royal,,,Tough-1 600D Poly Grooming Tote,Horse Care > Grooming & Bathing > Brushes & Tools > Grooming Bags,5,Shelf 7,72-9965-4-0,Wellington Warehouse,,,13990,13990,13990,23990,0,0
ROW 4 : LVL 2,1774281614632,2,Size: 1 Gallon,,,The Original Mane 'n Tail Detangler,"Horse Care > Grooming & Bathing > Shampoos, Conditioners & Sprays > Detanglers, Shines & Sprays",6,Grooming/Tack Cleaner,544834,Wellington Warehouse,,,26490,26490,26490,36990,0,0
ROW 4 : LVL 2,1774281614632,2,Size: 32 Ounces,,,The Original Mane 'n Tail Detangler,"Horse Care > Grooming & Bathing > Shampoos, Conditioners & Sprays > Detanglers, Shines & Sprays",13,Grooming/Tack Cleaner,544826,Wellington Warehouse,,,11820,11820,11820,16990,0,0
ROW 3 : LVL 1,1774281147457,1,Size: 5 Pounds,,,Probios Dispersible Powder,Horse Care > Supplements > Digestive & Gut Health,5,Supplements 2,CHR-403,Wellington Warehouse,2027-07-15,Lot# 3793603,56390,56390,56390,70370,0,0
ROW 3 : LVL 1,1774281147457,1,Size: 5 Pounds,,,Probios Dispersible Powder,Horse Care > Supplements > Digestive & Gut Health,6,Supplements 2,CHR-403,Wellington Warehouse,2027-07-17,PROBIOS,56390,56390,56390,70370,0,0
LVL 2,1772124449866,2,Size: Size 0,,,"EasyCare Easyboot Epic Hoof Boot, Single Boot",Tack & Equipment > Boots & Wraps > Hoof Boots,3,Hoof Boots,SB-EASYE0,Wellington Warehouse,,,57750,57750,57750,99950,0,0
LVL 2,1772124449866,2,Size: Size 3,,,"EasyCare Easyboot New Trail Boot, Single Boot",Tack & Equipment > Boots & Wraps > Hoof Boots,5,Hoof Boots,SB-EBNT-3,Wellington Warehouse,,,55260,55260,55260,97000,0,0
BIN-01,1768403023955,1,Size: Size 3,,,"EasyCare Easyboot Cloud Insert Pad, Pair",Tack & Equipment > Boots & Wraps > Hoof Boots,2,Shelf 10,SB-EBCI-3,Wellington Warehouse,,,13020,13020,13020,25950,0,0
LVL 2,1772124449866,2,Size: Size 00,,,"EasyCare Easyboot Epic Hoof Boot, Single Boot",Tack & Equipment > Boots & Wraps > Hoof Boots,1,Hoof Boots,SB-EASYE00,Wellington Warehouse,,,57750,57750,57750,99950,0,0
